timestamp,strategy,reason,duration_s,ewma_z,threshold
2020-07-10 00:00:00+00:00,Rolling Refit,Scheduled,22.02,399.584,5.0
2020-07-11 00:00:00+00:00,Rolling Refit,Scheduled,20.91,535.983,1716.6
2020-07-12 00:00:00+00:00,Rolling Refit,Scheduled,23.26,516.646,1590.098
2020-07-13 00:00:00+00:00,Rolling Refit,Scheduled,21.39,559.992,1641.172
2020-07-14 00:00:00+00:00,Rolling Refit,Scheduled,20.13,624.678,1806.4
2020-07-15 00:00:00+00:00,Rolling Refit,Scheduled,19.74,510.032,1578.725
2020-07-16 00:00:00+00:00,Rolling Refit,Scheduled,18.61,446.853,1472.179
2020-07-17 00:00:00+00:00,Rolling Refit,Scheduled,20.82,412.442,1467.887
2020-07-18 00:00:00+00:00,Rolling Refit,Scheduled,18.26,323.909,1460.012
2020-07-19 00:00:00+00:00,Rolling Refit,Scheduled,21.7,585.612,1480.763
2020-07-20 00:00:00+00:00,Rolling Refit,Scheduled,21.44,757.17,1484.15
2020-07-21 00:00:00+00:00,Rolling Refit,Scheduled,20.89,461.631,1483.698
2020-07-22 00:00:00+00:00,Rolling Refit,Scheduled,19.11,435.984,1479.045
2020-07-23 00:00:00+00:00,Rolling Refit,Scheduled,21.69,276.324,1463.595
2020-07-24 00:00:00+00:00,Rolling Refit,Scheduled,23.8,644.722,1462.878
2020-07-25 00:00:00+00:00,Rolling Refit,Scheduled,19.82,585.297,1455.937
2020-07-26 00:00:00+00:00,Rolling Refit,Scheduled,19.35,579.496,1461.445
2020-07-27 00:00:00+00:00,Rolling Refit,Scheduled,20.55,657.252,1482.211
2020-07-28 00:00:00+00:00,Rolling Refit,Scheduled,19.49,523.759,1482.066
2020-07-29 00:00:00+00:00,Rolling Refit,Scheduled,21.69,404.149,1475.206
2020-07-30 00:00:00+00:00,Rolling Refit,Scheduled,18.62,264.388,1462.162
2020-07-31 00:00:00+00:00,Rolling Refit,Scheduled,19.06,294.399,1453.9
2020-08-01 00:00:00+00:00,Rolling Refit,Scheduled,18.83,488.77,1451.862
2020-08-02 00:00:00+00:00,Rolling Refit,Scheduled,22.7,519.555,1460.012
2020-08-03 00:00:00+00:00,Rolling Refit,Scheduled,20.89,387.335,1457.974
2020-08-04 00:00:00+00:00,Rolling Refit,Scheduled,19.1,394.711,1455.937
2020-08-05 00:00:00+00:00,Rolling Refit,Scheduled,27.48,453.758,1453.9
2020-08-06 00:00:00+00:00,Rolling Refit,Scheduled,27.45,401.043,1448.981
2020-08-07 00:00:00+00:00,Rolling Refit,Scheduled,23.36,371.829,1402.994
2020-08-08 00:00:00+00:00,Rolling Refit,Scheduled,27.08,406.01,1380.936
2020-08-09 00:00:00+00:00,Rolling Refit,Scheduled,28.93,407.055,1384.335
2020-08-10 00:00:00+00:00,Rolling Refit,Scheduled,21.38,795.594,1395.927
2020-08-11 00:00:00+00:00,Rolling Refit,Scheduled,22.05,467.696,1405.047
2020-08-12 00:00:00+00:00,Rolling Refit,Scheduled,25.06,337.381,1383.963
2020-08-13 00:00:00+00:00,Rolling Refit,Scheduled,26.09,316.776,1333.28
2020-08-14 00:00:00+00:00,Rolling Refit,Scheduled,26.87,504.719,1334.637
2020-08-15 00:00:00+00:00,Rolling Refit,Scheduled,32.01,410.006,1334.637
2020-08-16 00:00:00+00:00,Rolling Refit,Scheduled,22.19,366.952,1334.637
2020-08-17 00:00:00+00:00,Rolling Refit,Scheduled,17.21,488.513,1371.871
2020-08-18 00:00:00+00:00,Rolling Refit,Scheduled,18.95,505.891,1371.871
2020-08-19 00:00:00+00:00,Rolling Refit,Scheduled,16.27,465.144,1334.637
2020-08-20 00:00:00+00:00,Rolling Refit,Scheduled,18.76,320.749,1293.529
2020-08-21 00:00:00+00:00,Rolling Refit,Scheduled,24.18,499.434,1293.561
2020-08-22 00:00:00+00:00,Rolling Refit,Scheduled,21.29,406.816,1350.019
2020-08-23 00:00:00+00:00,Rolling Refit,Scheduled,20.41,548.044,1335.756
2020-08-24 00:00:00+00:00,Rolling Refit,Scheduled,21.54,553.386,1379.244
2020-08-25 00:00:00+00:00,Rolling Refit,Scheduled,24.53,567.705,1379.244
2020-08-26 00:00:00+00:00,Rolling Refit,Scheduled,19.36,455.158,1285.616
