timestamp,strategy,reason,duration_s,ewma_z
2020-07-09 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),1.01,0.0018
2020-07-09 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0086
2020-07-10 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0135
2020-07-10 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.015
2020-07-10 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0141
2020-07-10 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0185
2020-07-11 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.018
2020-07-11 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0137
2020-07-11 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0124
2020-07-11 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.015
2020-07-12 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.017
2020-07-12 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0155
2020-07-12 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0146
2020-07-12 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0172
2020-07-13 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0168
2020-07-13 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0223
2020-07-13 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0179
2020-07-13 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0191
2020-07-14 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0204
2020-07-14 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0205
2020-07-14 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0166
2020-07-14 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0167
2020-07-15 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0161
2020-07-15 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.015
2020-07-15 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0114
2020-07-15 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0128
2020-07-16 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0132
2020-07-16 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0136
2020-07-16 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.13,0.0106
2020-07-16 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0107
2020-07-17 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0126
2020-07-17 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0167
2020-07-17 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0144
2020-07-17 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0132
2020-07-18 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0113
2020-07-18 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0098
2020-07-18 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0102
2020-07-18 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0142
2020-07-19 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.3,0.0145
2020-07-19 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0186
2020-07-19 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0164
2020-07-19 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0192
2020-07-20 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.016
2020-07-20 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0175
2020-07-20 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0203
2020-07-20 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.31,0.0184
2020-07-21 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.4,0.0155
2020-07-21 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.26,0.0131
2020-07-21 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0116
2020-07-21 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.26,0.0123
2020-07-22 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.35,0.0124
2020-07-22 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0106
2020-07-22 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0084
2020-07-22 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0117
2020-07-23 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0093
2020-07-23 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0105
2020-07-23 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0102
2020-07-23 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0138
2020-07-24 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0158
2020-07-24 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.018
2020-07-24 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0168
2020-07-24 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0152
2020-07-25 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0128
2020-07-25 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0159
2020-07-25 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0172
2020-07-25 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0175
2020-07-26 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0148
2020-07-26 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0147
2020-07-26 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0137
2020-07-26 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.015
2020-07-27 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0131
2020-07-27 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0187
2020-07-27 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0167
2020-07-27 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0183
2020-07-28 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0157
2020-07-28 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0119
2020-07-28 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0117
2020-07-28 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0132
2020-07-29 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0116
2020-07-29 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0113
2020-07-29 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0103
2020-07-29 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0108
2020-07-30 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0115
2020-07-30 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0115
2020-07-30 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0095
2020-07-30 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0126
2020-07-31 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0111
2020-07-31 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0127
